Time(UTC),PTemp_C_Avg,RH1,RH2,RH3,RH4,RH5,T1,T2,T3,T4,T5,U1,WD1,U2,WD2,U3,WD3,U4,WD4,U5,WD5
2023-09-22 09:30:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2023-09-22 10:00:00,16.6132,75.2389,75.5284,73.9932,74.6184,75.0584,15.0305,14.8842,15.2758,14.4821,14.9242,0.0,180.0,0.0,180.0,1.2753,77.481,0.0,180.0,0.0,180.0
2023-09-22 10:30:00,17.209,73.7533,73.994,72.1513,73.11,73.3937,15.5107,15.3727,15.8347,14.9413,15.4237,0.0,180.0,0.0,180.0,1.3219,43.5549,0.0,180.0,0.0,180.0
2023-09-22 11:00:00,18.3787,70.8503,71.0517,68.979,70.1793,70.4923,16.265,16.1293,16.6803,15.7097,16.157,0.0,180.0,0.0,180.0,1.3835,67.0299,0.0,180.0,0.0,180.0
2023-09-22 11:30:00,19.809,66.5947,66.7727,64.8467,65.8987,66.3347,16.9103,16.7637,17.337,16.3683,16.78,0.0,180.0,0.0,180.0,1.3737,71.1182,0.0,180.0,0.0,180.0
2023-09-22 12:00:00,20.9857,63.32,63.489,61.148,62.5733,63.073,17.4107,17.2357,18.0,16.8723,17.2863,0.0,180.0,0.0,180.0,1.252,64.2371,0.0,180.0,0.0,180.0
2023-09-22 12:30:00,21.266,63.7833,63.7997,61.9423,63.076,63.49,16.744,16.6287,17.2253,16.186,16.65,0.0,180.0,0.0,180.0,1.1984,59.2698,0.0,180.0,0.0,180.0
2023-09-22 13:00:00,20.8103,64.323,64.3897,62.6887,63.6683,64.0287,16.9277,16.808,17.35,16.3733,16.8517,0.0,180.0,0.0,180.0,0.8236,86.4277,0.0,180.0,0.0,180.0
2023-09-22 13:30:00,20.4373,65.3733,65.4363,63.654,64.6537,65.0033,16.839,16.736,17.2793,16.2867,16.769,0.0,180.0,0.0,180.0,0.8972,90.1809,0.0,180.0,0.0,180.0
2023-09-22 14:00:00,19.9413,65.7753,65.8123,64.175,65.065,65.3963,16.6167,16.5053,17.006,16.0707,16.5577,0.0,180.0,0.0,180.0,0.8946,125.8637,0.0,180.0,0.0,180.0
2023-09-22 14:30:00,19.3537,66.8403,66.9237,65.2077,66.1523,66.4227,16.3337,16.2053,16.6877,15.761,16.2577,0.0,180.0,0.0,180.0,0.83,145.567,0.0,180.0,0.0,180.0
2023-09-22 15:00:00,18.901,66.3343,66.4047,64.8613,65.6577,65.87,16.3497,16.2343,16.6683,15.781,16.2787,0.0,180.0,0.0,180.0,0.9001,115.8737,0.0,180.0,0.0,180.0
2023-09-22 15:30:00,18.6943,69.719,69.813,67.7387,69.1473,69.4687,15.8703,15.76,16.318,15.2807,15.784,0.0,180.0,0.0,180.0,0.635,48.4175,0.0,180.0,0.0,180.0
2023-09-22 16:00:00,17.915,76.031,76.185,74.5703,75.495,75.6337,15.342,15.2373,15.6257,14.7583,15.287,0.0,180.0,0.0,180.0,0.4347,8.418,0.0,180.0,0.0,180.0
2023-09-22 16:30:00,17.0467,77.5827,77.73,76.366,77.0417,77.1117,15.0463,14.969,15.2767,14.4747,15.0177,0.0,180.0,0.0,180.0,0.4305,15.5578,0.0,180.0,0.0,180.0
2023-09-22 17:00:00,16.3033,78.2077,78.396,77.069,77.6717,77.735,14.919,14.8237,15.1153,14.3463,14.8987,0.0,180.0,0.0,180.0,0.2616,25.5051,0.0,180.0,0.0,180.0
2023-09-22 17:30:00,15.5997,80.796,80.9893,79.5793,80.2493,80.29,14.5207,14.4453,14.7483,13.9713,14.511,0.0,180.0,0.0,180.0,0.1429,15.7188,0.0,180.0,0.0,180.0
2023-09-22 18:00:00,14.9277,83.871,84.0833,82.9017,83.365,83.523,14.248,14.1603,14.3793,13.6847,14.2087,0.0,180.0,0.0,180.0,0.1291,8.1049,0.0,180.0,0.0,180.0
2023-09-22 18:30:00,14.359,89.3167,89.67,87.8167,88.9633,89.0067,13.7963,13.7153,13.9753,13.229,13.7423,0.0,180.0,0.0,180.0,0.0497,1.3342,0.0,180.0,0.0,180.0
2023-09-22 19:00:00,13.911,89.2633,89.4367,88.8167,88.8633,88.8,13.8137,13.732,13.8513,13.233,13.7663,0.0,180.0,0.0,180.0,0.4244,128.4742,0.0,180.0,0.0,180.0
2023-09-22 19:30:00,13.5903,90.97,91.22,90.0267,90.68,90.55,13.3083,13.223,13.4483,12.7287,13.246,0.0,180.0,0.0,180.0,0.6553,132.6836,0.0,180.0,0.0,180.0
2023-09-22 20:00:00,13.1507,87.7433,87.8267,87.1467,87.3467,87.0933,12.8573,12.8077,12.9427,12.2883,12.8403,0.0,180.0,0.0,180.0,0.7938,119.6563,0.0,180.0,0.0,180.0
2023-09-22 20:30:00,12.717,88.5033,88.8167,87.9233,88.25,88.02,12.6613,12.564,12.7003,12.053,12.6057,0.0,180.0,0.0,180.0,0.5782,144.1777,0.0,180.0,0.0,180.0
2023-09-22 21:00:00,12.438,91.07,91.4167,90.71,90.8167,90.5667,12.5387,12.4253,12.5663,11.943,12.4933,0.0,180.0,0.0,180.0,0.6749,128.2508,0.0,180.0,0.0,180.0
2023-09-22 21:30:00,12.2423,91.8933,92.2133,91.02,91.59,91.41,12.331,12.251,12.4037,11.739,12.2933,0.0,180.0,0.0,180.0,0.3297,117.9394,0.0,180.0,0.0,180.0
2023-09-22 22:00:00,12.0,94.2667,94.8,93.06,94.0733,93.9633,11.9313,11.8337,12.0907,11.34,11.8803,0.0,180.0,0.0,180.0,0.1723,18.3459,0.0,180.0,0.0,180.0
2023-09-22 22:30:00,11.6233,94.3467,94.5467,93.78,94.01,93.7933,11.7287,11.647,11.767,11.1547,11.7137,0.0,180.0,0.0,180.0,0.3474,116.7146,0.0,180.0,0.0,180.0
2023-09-22 23:00:00,11.3247,93.2267,93.3633,92.9533,92.8133,92.5267,11.615,11.5617,11.6293,11.045,11.614,0.0,180.0,0.0,180.0,0.4271,85.097,0.0,180.0,0.0,180.0
2023-09-22 23:30:00,11.14,90.7167,90.7033,91.0133,90.1833,89.89,11.7293,11.694,11.689,11.1823,11.7507,0.0,180.0,0.0,180.0,0.4155,69.1049,0.0,180.0,0.0,180.0
2023-09-23 00:00:00,11.108,88.5667,88.7833,88.93,88.12,87.96,11.8953,11.818,11.8293,11.3277,11.8893,0.0,180.0,0.0,180.0,0.4636,71.27,0.0,180.0,0.0,180.0
2023-09-23 00:30:00,11.152,89.7533,90.1167,89.6667,89.4467,89.2333,12.016,11.9227,11.9937,11.436,11.9947,0.0,180.0,0.0,180.0,0.6224,123.0838,0.0,180.0,0.0,180.0
2023-09-23 01:00:00,11.255,94.5333,95.1333,93.26,94.4533,94.3033,11.607,11.507,11.7463,11.0023,11.5593,0.0,180.0,0.0,180.0,0.2676,73.5229,0.0,180.0,0.0,180.0
2023-09-23 01:30:00,11.186,96.64,97.3433,95.6367,96.51,96.2667,11.4963,11.3853,11.542,10.901,11.4613,0.0,180.0,0.0,180.0,0.4188,22.0771,0.0,180.0,0.0,180.0
2023-09-23 02:00:00,11.1393,96.4333,96.8533,96.06,96.1467,96.0267,11.5433,11.492,11.576,10.9753,11.5343,0.0,180.0,0.0,180.0,0.5823,20.5315,0.0,180.0,0.0,180.0
2023-09-23 02:30:00,11.1103,96.1267,96.51,95.7567,95.8767,95.5667,11.4943,11.4167,11.5173,10.9323,11.4923,0.0,180.0,0.0,180.0,0.5159,26.0092,0.0,180.0,0.0,180.0
2023-09-23 03:00:00,11.1047,96.6433,97.14,96.1867,96.39,96.1,11.4853,11.3827,11.5097,10.9247,11.4763,0.0,180.0,0.0,180.0,0.495,22.8321,0.0,180.0,0.0,180.0
2023-09-23 03:30:00,11.04,96.3567,96.67,96.2533,96.05,95.7367,11.5923,11.5333,11.554,11.028,11.601,0.0,180.0,0.0,180.0,0.4717,72.6551,0.0,180.0,0.0,180.0
2023-09-23 04:00:00,11.006,95.9333,96.23,95.86,95.6333,95.2233,11.694,11.6277,11.6907,11.123,11.6997,0.0,180.0,0.0,180.0,0.4985,43.0123,0.0,180.0,0.0,180.0
2023-09-23 04:30:00,10.8573,96.3533,96.8133,96.0833,96.1667,95.7367,11.5353,11.4663,11.5237,10.9537,11.5443,0.0,180.0,0.0,180.0,0.3158,32.7645,0.0,180.0,0.0,180.0
2023-09-23 05:00:00,10.7823,96.63,97.0533,96.6667,96.3867,95.9667,11.7467,11.6663,11.6527,11.154,11.7387,0.0,180.0,0.0,180.0,0.4541,41.6191,0.0,180.0,0.0,180.0
2023-09-23 05:30:00,10.931,96.28,96.5867,96.3433,95.9267,95.5667,11.822,11.7687,11.8113,11.2477,11.8223,0.0,180.0,0.0,180.0,0.5978,33.6005,0.0,180.0,0.0,180.0
2023-09-23 06:00:00,11.0547,96.0767,96.3567,95.9533,95.7267,95.3733,11.682,11.6017,11.719,11.1143,11.6727,0.0,180.0,0.0,180.0,0.5789,63.1985,0.0,180.0,0.0,180.0
2023-09-23 06:30:00,11.104,95.5433,95.75,95.4667,95.12,94.73,11.7017,11.6373,11.7287,11.143,11.714,0.0,180.0,0.0,180.0,0.6061,48.313,0.0,180.0,0.0,180.0
2023-09-23 07:00:00,11.3347,94.2167,94.4433,94.2067,93.6967,93.2733,12.155,12.0923,12.18,11.6027,12.169,0.0,180.0,0.0,180.0,0.7219,48.2099,0.0,180.0,0.0,180.0
2023-09-23 07:30:00,11.9,92.94,93.37,92.5633,92.4833,92.15,12.7333,12.6547,12.8357,12.1783,12.717,0.0,180.0,0.0,180.0,0.818,45.3124,0.0,180.0,0.0,180.0
2023-09-23 08:00:00,12.5303,92.2433,92.7433,91.66,91.76,91.49,13.083,12.9793,13.2317,12.539,13.059,0.0,180.0,0.0,180.0,0.6795,42.0032,0.0,180.0,0.0,180.0
2023-09-23 08:30:00,13.8033,89.4067,90.0567,87.3133,88.96,88.9233,13.9543,13.8333,14.3773,13.411,13.888,0.0,180.0,0.0,180.0,0.7968,64.7924,0.0,180.0,0.0,180.0
2023-09-23 09:00:00,14.9633,89.5933,90.1167,87.5067,89.1767,89.0367,13.9663,13.864,14.36,13.4157,13.9283,0.0,180.0,0.0,180.0,0.9356,63.3989,0.0,180.0,0.0,180.0
2023-09-23 09:30:00,15.7353,88.1333,88.5733,86.4267,87.68,87.5033,14.5017,14.3957,14.8137,13.953,14.4623,0.0,180.0,0.0,180.0,0.9704,53.8695,0.0,180.0,0.0,180.0
2023-09-23 10:00:00,16.318,90.95,91.3967,88.7233,90.72,90.6433,14.524,14.4077,14.9113,13.956,14.4707,0.0,180.0,0.0,180.0,0.7108,128.7874,0.0,180.0,0.0,180.0
2023-09-23 10:30:00,15.897,93.9667,94.3167,92.2667,93.8233,93.72,14.1453,14.056,14.4027,13.5717,14.0943,0.0,180.0,0.0,180.0,0.7973,123.9702,0.0,180.0,0.0,180.0
2023-09-23 11:00:00,15.8687,88.7433,89.7867,86.9303,88.3267,88.3433,15.2077,15.0313,15.5023,14.6717,15.166,0.0,180.0,0.0,180.0,0.8034,120.5775,0.0,180.0,0.0,180.0
2023-09-23 11:30:00,17.29,81.012,82.846,78.6137,80.5733,80.7727,16.1863,15.891,16.6987,15.642,16.103,0.0,180.0,0.0,180.0,1.032,124.8566,0.0,180.0,0.0,180.0
2023-09-23 12:00:00,19.0133,74.987,76.3943,72.4523,74.573,74.5273,16.7107,16.4417,17.278,16.1713,16.6407,0.0,180.0,0.0,180.0,1.2117,128.8541,0.0,180.0,0.0,180.0
2023-09-23 12:30:00,20.3693,75.3513,76.3667,72.8967,74.901,74.902,16.9607,16.7157,17.5427,16.4313,16.8977,0.0,180.0,0.0,180.0,1.235,138.3238,0.0,180.0,0.0,180.0
2023-09-23 13:00:00,20.9563,70.028,70.5527,68.199,69.4997,69.3647,17.2243,17.042,17.6473,16.6997,17.1963,0.0,180.0,0.0,180.0,1.2239,136.4238,0.0,180.0,0.0,180.0
