Time(UTC),uu,uv,uw,uTs,uTc1,uH2O,vv,vw,vTs,vTc1,vH2O,ww,wTs,wTc1,wH2O,sigmaTs,sigmaTc1,sigmaH2O,u,v,w,Ts,Tc1,H2O,Uyp,WDy,sigmaWDy,wgwg,wguy,wgTc2,uywg,uyTc2,Tc2Tc2,wg,Uy,Tc2,dd
2023-09-22 09:30:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,189.6,55.25,0.343,-999,-999,-999,-999,-999,-0.043,-999,-999,179.1
2023-09-22 10:00:00,1.414,-0.237,-0.212,-0.008,-999,-0.011,1.52,-0.168,-0.023,-999,0.011,0.591,0.042,-999,0.063,0.254,-999,0.311,0.09,0.762,-0.048,21.18,-999,23.52,1.454,182.2,58.64,-999,-999,-999,1.006,-999,-999,-999,1.454,-999,180.6
2023-09-22 10:30:00,1.293,-0.23,-0.101,0.009,-999,0.006,1.564,-0.11,-0.081,-999,-0.051,0.623,0.066,-999,0.075,0.294,-999,0.349,0.224,0.547,-0.113,21.88,-999,23.57,1.274,190.7,56.96,0.349,0.0,-999,1.128,-999,-999,-0.083,1.274,-999,187.9
2023-09-22 11:00:00,1.373,-0.246,-0.201,-0.013,-999,-0.046,1.673,-0.071,-0.046,-999,0.029,0.613,0.075,-999,0.104,0.321,-999,0.405,0.146,0.412,-0.097,22.38,-999,23.2,1.431,193.2,60.81,0.32,-0.042,-999,1.047,-999,-999,-0.068,1.431,-999,178.7
2023-09-22 11:30:00,1.108,-0.413,-0.053,-0.033,-999,-0.037,1.733,-0.189,-0.023,-999,0.022,0.525,0.076,-999,0.099,0.31,-999,0.42,0.242,0.197,-0.004,22.7,-999,22.82,1.254,199.5,64.49,0.269,-0.037,-999,1.011,-999,-999,0.021,1.254,-999,192.6
2023-09-22 12:00:00,1.221,-0.145,-0.135,0.001,-999,-0.016,1.345,-0.149,-0.031,-999,-0.009,0.544,0.021,-999,0.064,0.113,-999,0.29,0.17,0.655,-0.069,22.3,-999,22.35,1.256,180.8,58.9,-999,-999,-999,0.974,-999,-999,-999,1.256,-999,176.7
2023-09-22 12:30:00,0.652,-0.151,-0.089,-0.009,-999,-0.032,0.907,-0.04,-0.014,-999,0.013,0.294,0.021,-999,0.046,0.14,-999,0.322,0.126,0.169,-0.008,22.5,-999,22.66,0.8,184.0,59.32,0.134,-0.044,-999,0.681,-999,-999,0.02,0.8,-999,185.9
2023-09-22 13:00:00,0.657,-0.126,-0.045,-0.003,-999,-0.023,0.817,-0.102,-0.012,-999,0.015,0.285,0.013,-999,0.04,0.097,-999,0.288,0.293,0.215,-0.062,22.47,-999,22.86,0.928,216.1,52.79,0.156,-0.004,-999,0.591,-999,-999,-0.029,0.928,-999,200.9
2023-09-22 13:30:00,0.467,-0.088,-0.044,-0.012,-999,-0.043,0.792,-0.034,-0.016,-999,0.03,0.216,0.012,-999,0.037,0.104,-999,0.314,0.512,-0.152,0.027,22.22,-999,22.72,0.878,257.1,43.33,0.099,-0.004,-999,0.63,-999,-999,0.027,0.878,-999,229.0
2023-09-22 14:00:00,0.47,-0.155,-0.033,-0.008,-999,-0.021,0.783,-0.068,-0.007,-999,0.043,0.255,0.005,-999,0.03,0.08,-999,0.288,0.478,-0.337,-0.029,21.96,-999,22.66,0.911,262.1,40.08,0.125,0.033,-999,0.636,-999,-999,-0.03,0.911,-999,241.6
2023-09-22 14:30:00,0.541,-0.151,-0.069,-0.009,-999,0.0,0.696,-0.014,-0.009,-999,-0.056,0.218,0.013,-999,0.046,0.11,-999,0.428,0.43,-0.072,-0.054,21.95,-999,22.44,0.929,246.5,50.15,0.094,-0.019,-999,0.539,-999,-999,-0.029,0.929,-999,222.2
2023-09-22 15:00:00,0.351,-0.095,-0.027,0.002,-999,0.017,0.358,-0.02,-0.012,-999,0.002,0.152,-0.005,-999,0.02,0.071,-999,0.248,-0.001,0.405,-0.051,21.5,-999,22.86,0.673,173.9,40.53,0.068,-0.003,-999,0.375,-999,-999,-0.035,0.673,-999,175.0
2023-09-22 15:30:00,0.147,-0.019,-0.022,0.003,-999,-0.006,0.123,-0.007,-0.004,-999,0.007,0.073,-0.005,-999,0.017,0.063,-999,0.214,-0.214,0.341,-0.026,21.14,-999,23.77,0.435,129.9,30.98,0.021,0.0,-999,0.239,-999,-999,-0.021,0.435,-999,142.3
2023-09-22 16:00:00,0.153,-0.033,-0.013,0.002,-999,-0.004,0.176,-0.019,0.001,-999,-0.003,0.069,-0.005,-999,0.009,0.073,-999,0.174,-0.141,0.489,0.001,20.94,-999,23.77,0.501,146.7,23.3,0.018,-0.008,-999,0.277,-999,-999,-0.011,0.501,-999,153.5
2023-09-22 16:30:00,0.064,-0.006,-0.005,0.002,-999,0.001,0.072,-0.012,-0.001,-999,0.0,0.032,-0.004,-999,0.007,0.097,-999,0.206,-0.094,0.332,-0.013,20.79,-999,23.84,0.237,122.3,11.64,0.005,-0.006,-999,0.154,-999,-999,-0.008,0.237,-999,161.7
2023-09-22 17:00:00,0.042,0.003,-0.009,0.002,-999,-0.003,0.054,-0.006,0.004,-999,-0.005,0.021,-0.004,-999,0.003,0.14,-999,0.2,-0.174,0.309,0.01,20.5,-999,24.05,0.17,138.6,11.63,0.002,-0.002,-999,0.136,-999,-999,-0.002,0.17,-999,133.4
2023-09-22 17:30:00,0.038,-0.002,-0.003,0.001,-999,-0.006,0.034,-0.005,0.001,-999,0.009,0.016,-0.005,-999,0.016,0.154,-999,0.606,-0.153,0.258,0.009,20.22,-999,24.67,0.143,141.1,6.705,0.002,-0.001,-999,0.109,-999,-999,-0.008,0.143,-999,141.7
2023-09-22 18:00:00,0.038,-0.004,-0.003,-0.003,-999,-0.003,0.065,-0.003,-0.018,-999,0.014,0.021,-0.001,-999,0.014,0.183,-999,0.526,-0.057,0.058,0.004,19.98,-999,20.89,0.051,122.3,7.267,0.002,0.001,-999,0.045,-999,-999,-0.005,0.051,-999,137.8
2023-09-22 18:30:00,0.147,-0.053,-0.013,0.005,-999,-0.065,0.232,-0.012,-0.005,-999,0.031,0.078,-0.004,-999,-0.034,0.102,-999,1.038,0.326,-0.2,0.005,20.08,-999,21.57,0.433,273.4,19.84,0.029,0.002,-999,0.264,-999,-999,0.003,0.433,-999,231.4
