Time(UTC),swd_1,swu_1,lwd_1,lwu_1,t_rad_1
2023-09-22 09:30:00,-999,-999,-999,-999,-999
2023-09-22 10:00:00,290.8187,63.1477,342.9965,391.7608,14.8339
2023-09-22 10:30:00,423.4818,102.8505,338.24,396.4723,15.8586
2023-09-22 11:00:00,559.4713,141.0265,339.4077,404.7819,17.0703
2023-09-22 11:30:00,585.68,146.8444,333.9132,408.8355,17.9005
2023-09-22 12:00:00,530.4147,130.8281,330.9509,407.8747,18.4783
2023-09-22 12:30:00,307.4803,73.7383,340.483,394.7508,16.8186
2023-09-22 13:00:00,291.5905,69.9656,346.3817,397.6648,16.8578
2023-09-22 13:30:00,224.1237,54.3346,356.837,394.7691,16.6183
2023-09-22 14:00:00,185.7866,45.0377,350.6858,391.4939,16.0454
2023-09-22 14:30:00,157.5654,38.9867,353.5402,389.4709,15.5196
2023-09-22 15:00:00,222.4666,55.8017,356.1981,392.7723,15.7199
2023-09-22 15:30:00,97.2372,23.024,356.5992,385.9676,15.0032
2023-09-22 16:00:00,65.0161,16.4988,352.6537,382.9708,13.9718
2023-09-22 16:30:00,47.8299,12.7978,348.4235,380.1299,13.3865
2023-09-22 17:00:00,31.4536,8.9767,346.3756,378.4948,13.0587
2023-09-22 17:30:00,5.7181,2.4358,353.1402,375.9248,12.4096
2023-09-22 18:00:00,-0.8854,1.513,357.369,375.1848,11.9038
2023-09-22 18:30:00,-1.6204,1.7432,359.2253,374.1217,11.3332
2023-09-22 19:00:00,-1.1008,2.0275,363.5254,374.5927,11.2491
2023-09-22 19:30:00,-1.2837,1.7329,361.7234,372.2937,11.0167
2023-09-22 20:00:00,-1.5393,2.1961,359.6692,369.4196,10.4214
2023-09-22 20:30:00,-1.2528,1.9288,359.5513,369.5045,10.2926
2023-09-22 21:00:00,-1.0285,1.6894,359.0964,369.0214,10.2895
2023-09-22 21:30:00,-1.0739,1.6783,361.5751,367.823,10.0415
2023-09-22 22:00:00,-1.2376,1.4087,359.7878,364.6343,9.6838
2023-09-22 22:30:00,-1.0787,1.897,357.3975,362.7415,9.3602
2023-09-22 23:00:00,-1.1879,2.0833,356.9764,362.2325,9.2356
