Time(UTC),batt_v_0,t_0,wspd_0,wdir_0,wspd_0_std,wspd_0_max,rh_0,zm,p_0,swd_0,swd_0_std,swu_0,lwd_0,lwu_0,t_rad_0,t_log_0,tilt_x,tilt_y
2023-09-22 09:30:00,3.559,14.83,0.0,180.0,0.0,0.0,78.43,2.009,1001.7,501.2,935.2,384.8,672.8,688.7,47.05,17.24,-0.6,-6.07
2023-09-22 10:00:00,4.135,15.14,0.0,180.0,0.0,0.0,78.21,2.008,1001.8,269.7,133.1,58.7,358.2,407.0,17.14,18.77,-0.55,-6.07
2023-09-22 10:30:00,4.88,15.78,0.0,180.0,0.0,0.0,76.41,2.016,1001.8,394.7,194.2,96.7,355.5,411.3,18.69,20.39,-0.6,-6.1
2023-09-22 11:00:00,5.226,16.6,0.0,180.0,0.0,0.0,73.79,2.026,1001.8,544.1,188.3,138.2,356.9,420.2,20.37,22.37,-0.57,-6.12
2023-09-22 11:30:00,5.222,17.32,0.0,180.0,0.0,0.0,70.42,2.032,1001.9,547.8,217.4,139.1,352.2,425.4,21.61,24.24,-0.6,-6.12
2023-09-22 12:00:00,5.234,17.72,0.0,180.0,0.0,0.0,67.7,2.037,1002.2,501.1,184.7,126.7,350.0,425.8,22.15,25.03,-0.57,-6.1
2023-09-22 12:30:00,5.231,16.91,0.0,180.0,0.0,0.0,68.56,2.044,1002.7,299.3,32.9,76.1,358.0,411.4,19.31,22.16,-0.6,-6.07
2023-09-22 13:00:00,5.228,17.17,0.0,180.0,0.0,0.0,69.02,2.032,1002.7,281.9,41.8,71.7,363.4,414.0,19.38,21.66,-0.62,-6.07
2023-09-22 13:30:00,5.236,16.98,0.0,180.0,0.0,0.0,70.09,2.025,1002.7,215.2,46.9,55.5,373.5,411.2,18.99,21.03,-0.6,-6.07
2023-09-22 14:00:00,5.238,16.69,0.0,180.0,0.0,0.0,70.41,2.017,1003.0,180.4,25.3,46.9,367.3,407.8,18.34,20.12,-0.6,-6.05
2023-09-22 14:30:00,5.239,16.37,0.0,180.0,0.0,0.0,71.68,2.018,1003.1,154.3,17.1,41.3,369.7,405.4,17.71,19.26,-0.57,-6.05
2023-09-22 15:00:00,5.24,16.46,0.0,180.0,0.0,0.0,70.78,2.02,1003.4,216.0,57.5,57.9,372.4,408.3,18.02,19.59,-0.62,-6.07
2023-09-22 15:30:00,5.255,15.89,0.0,180.0,0.0,0.0,73.73,2.024,1003.3,95.1,16.8,25.6,373.2,401.8,17.03,18.25,-0.6,-6.07
2023-09-22 16:00:00,5.253,15.34,0.0,180.0,0.0,0.0,78.82,1.99,1003.4,64.4,4.4,19.4,368.1,398.0,15.86,16.89,-0.57,-6.05
2023-09-22 16:30:00,5.254,15.03,0.0,180.0,0.0,0.0,80.34,2.011,1003.6,48.5,4.3,15.8,363.8,395.0,15.25,15.97,-0.6,-6.05
2023-09-22 17:00:00,5.253,14.85,0.0,180.0,0.0,0.0,81.13,2.02,1003.5,32.3,14.2,11.8,361.6,393.1,14.9,15.36,-0.6,-6.05
2023-09-22 17:30:00,5.225,14.4,0.0,180.0,0.0,0.0,83.46,2.017,1003.8,7.9,2.4,5.6,367.9,390.3,14.12,14.37,-0.57,-6.05
2023-09-22 18:00:00,5.206,14.07,0.0,180.0,0.0,0.0,86.25,2.024,1004.1,1.7,0.9,4.8,375.7,389.3,13.54,13.82,-0.62,-6.02
