Time(UTC),T0,U,WD,Ustd,Umax,RH,zm,p0,SWd,SWdstd,SWu,LWd,LWu,NRT,CJavg,TILTX,TILTY
2023-09-22 09:30:00,287.97999999999996,0.0,180.0,0.0,0.0,78.43,2.009,100170.0,501.2,935.2,384.8,672.8,688.7,320.2,17.24,-0.6,-6.07
2023-09-22 10:00:00,288.28999999999996,0.0,180.0,0.0,0.0,78.21,2.008,100180.0,269.7,133.1,58.7,358.2,407.0,290.28999999999996,18.77,-0.55,-6.07
2023-09-22 10:30:00,288.92999999999995,0.0,180.0,0.0,0.0,76.41,2.016,100180.0,394.7,194.2,96.7,355.5,411.3,291.84,20.39,-0.6,-6.1
2023-09-22 11:00:00,289.75,0.0,180.0,0.0,0.0,73.79,2.026,100180.0,544.1,188.3,138.2,356.9,420.2,293.52,22.37,-0.57,-6.12
2023-09-22 11:30:00,290.46999999999997,0.0,180.0,0.0,0.0,70.42,2.032,100190.0,547.8,217.4,139.1,352.2,425.4,294.76,24.24,-0.6,-6.12
2023-09-22 12:00:00,290.87,0.0,180.0,0.0,0.0,67.7,2.037,100220.0,501.1,184.7,126.7,350.0,425.8,295.29999999999995,25.03,-0.57,-6.1
2023-09-22 12:30:00,290.06,0.0,180.0,0.0,0.0,68.56,2.044,100270.0,299.3,32.9,76.1,358.0,411.4,292.46,22.16,-0.6,-6.07
2023-09-22 13:00:00,290.32,0.0,180.0,0.0,0.0,69.02,2.032,100270.0,281.9,41.8,71.7,363.4,414.0,292.53,21.66,-0.62,-6.07
2023-09-22 13:30:00,290.13,0.0,180.0,0.0,0.0,70.09,2.025,100270.0,215.2,46.9,55.5,373.5,411.2,292.14,21.03,-0.6,-6.07
2023-09-22 14:00:00,289.84,0.0,180.0,0.0,0.0,70.41,2.017,100300.0,180.4,25.3,46.9,367.3,407.8,291.48999999999995,20.12,-0.6,-6.05
2023-09-22 14:30:00,289.52,0.0,180.0,0.0,0.0,71.68,2.018,100310.0,154.3,17.1,41.3,369.7,405.4,290.85999999999996,19.26,-0.57,-6.05
2023-09-22 15:00:00,289.60999999999996,0.0,180.0,0.0,0.0,70.78,2.02,100340.0,216.0,57.5,57.9,372.4,408.3,291.16999999999996,19.59,-0.62,-6.07
2023-09-22 15:30:00,289.03999999999996,0.0,180.0,0.0,0.0,73.73,2.024,100330.0,95.1,16.8,25.6,373.2,401.8,290.17999999999995,18.25,-0.6,-6.07
2023-09-22 16:00:00,288.48999999999995,0.0,180.0,0.0,0.0,78.82,1.99,100340.0,64.4,4.4,19.4,368.1,398.0,289.01,16.89,-0.57,-6.05
2023-09-22 16:30:00,288.17999999999995,0.0,180.0,0.0,0.0,80.34,2.011,100360.0,48.5,4.3,15.8,363.8,395.0,288.4,15.97,-0.6,-6.05
2023-09-22 17:00:00,288.0,0.0,180.0,0.0,0.0,81.13,2.02,100350.0,32.3,14.2,11.8,361.6,393.1,288.04999999999995,15.36,-0.6,-6.05
2023-09-22 17:30:00,287.54999999999995,0.0,180.0,0.0,0.0,83.46,2.017,100380.0,7.9,2.4,5.6,367.9,390.3,287.27,14.37,-0.57,-6.05
2023-09-22 18:00:00,287.21999999999997,0.0,180.0,0.0,0.0,86.25,2.024,100410.0,1.7,0.9,4.8,375.7,389.3,286.69,13.82,-0.62,-6.02
2023-09-22 18:30:00,286.85999999999996,0.0,180.0,0.0,0.0,89.91,1.979,100430.0,1.1,0.2,4.9,375.8,387.9,286.08,13.3,-0.62,-6.02
